Position, Time
6.90,0.10
11.70,0.20
16.36,0.30
20.87,0.40
25.24,0.50
29.46,0.60
33.55,0.70
37.50,0.80
41.31,0.90
44.98,1.00
48.52,1.10
51.93,1.20
55.20,1.30
58.34,1.40
61.36,1.50
64.24,1.60
67.00,1.70
69.63,1.80
72.14,1.90
74.53,2.00
76.79,2.10
78.94,2.20
80.96,2.30
82.86,2.40
84.65,2.50
86.33,2.60
87.88,2.70
89.33,2.80
90.66,2.90
91.88,3.00
92.99,3.10
93.99,3.20
94.88,3.30
95.67,3.40
96.35,3.50
96.93,3.60
97.40,3.70
97.77,3.80
98.03,3.90
98.20,4.00
98.27,4.10
98.24,4.20
98.11,4.30
97.88,4.40
97.56,4.50
97.14,4.60
96.63,4.70
96.03,4.80
95.33,4.90
94.55,5.00
93.67,5.10
92.70,5.20
91.65,5.30
90.51,5.40
89.28,5.50
87.97,5.60
86.57,5.70
85.09,5.80
83.52,5.90
81.87,6.00
80.14,6.10
78.33,6.20
76.44,6.30
74.47,6.40
72.42,6.50
70.30,6.60
68.10,6.70
65.82,6.80
63.47,6.90
61.04,7.00
58.54,7.10
55.96,7.20
53.32,7.30
50.60,7.40
47.81,7.50
44.95,7.60
42.02,7.70
39.02,7.80
35.96,7.90
32.83,8.00
29.63,8.10
26.36,8.20
23.03,8.30
19.64,8.40
16.18,8.50
12.65,8.60
9.07,8.70
5.42,8.80
1.71,8.90
-2.06,9.00
